,Total_Population,Youth_Ratio,Working_Age_Ratio,Senior_Ratio,Average_Age,Median_Age,Median_Income_2020,Average_Income_2020,Median_After_Tax_Income_2020,Average_After_Tax_Income_2020,ASSAULT_2020,AUTOTHEFT_2020,BIKETHEFT_2020,BREAKENTER_2020,HOMICIDE_2020,ROBBERY_2020,SHOOTING_2020,THEFTFROMMV_2020,THEFTOVER_2020,TOTAL_CRIME_COUNT,ASSAULT_RATE_2020,AUTOTHEFT_RATE_2020,BIKETHEFT_RATE_2020,BREAKENTER_RATE_2020,HOMICIDE_RATE_2020,ROBBERY_RATE_2020,SHOOTING_RATE_2020,THEFTFROMMV_RATE_2020,THEFTOVER_RATE_2020
Total_Population,1.0,-0.10300053245500113,0.1463278478601967,-0.1146851333811323,-0.15254691386126581,-0.20384945493956544,-0.19235572523511626,-0.21409137597216205,-0.19048297316094018,-0.21988307120468065,0.4732155076623289,0.48156610990039833,0.15720337491678035,0.3606013398061715,0.35357777236548643,0.4599976031072489,0.3825951368252197,0.5567222088872653,0.4421314304374283,0.5330054019943804,0.0780461028656161,0.16027656827516004,-0.11935076095229485,-0.08736999958242093,0.1770591639005374,0.10447324716462292,0.15952854436510733,0.03788200442302236,0.05603731116845902
Youth_Ratio,-0.10300053245500113,1.0,-0.6603209262520182,0.11523626065192866,-0.03732653690103944,0.241562161625661,-0.19580070999792304,-0.09326107929904712,-0.2015385314016184,-0.11093017975203164,-0.3322570564660039,0.08436456117134526,-0.6265946516873876,-0.5348010943866863,0.04830016398032441,-0.291055237090366,0.25016100752330395,-0.16483158504537876,-0.3280864116472107,-0.36439532815786746,-0.3387653808294138,0.16128065574707554,-0.5658491135341802,-0.5262104984082697,0.032302500434839246,-0.29400042024588113,0.28058454735152677,-0.16427359036628175,-0.3285903895613264
Working_Age_Ratio,0.1463278478601967,-0.6603209262520182,1.0,-0.8220008007410916,-0.6979026708958062,-0.8238390319729882,0.11327102681731041,-0.13023260578610454,0.1255314454841754,-0.10561102290886124,0.5099046233724037,-0.059292390434444474,0.6925105823673287,0.5784758000833081,0.12999449702352692,0.3703206019516466,-0.040807032163341125,0.2806366644017688,0.38076677987691865,0.5146862089870397,0.5341973544916719,-0.15506461497974217,0.6262299386328725,0.5555349303935451,0.14918434054659135,0.3790013775770319,-0.05673316966407296,0.28344371581540606,0.3657677640792788
Senior_Ratio,-0.1146851333811323,0.11523626065192866,-0.8220008007410916,1.0,0.9514073524300858,0.9063083319621662,-0.0017461725590080363,0.24236948216664414,-0.013586361930532028,0.22333820148068012,-0.4221730480359028,0.014925565538656238,-0.44056429442276496,-0.35997095458902045,-0.2099983849649279,-0.2681284667366178,-0.13477911369221524,-0.24498520945869592,-0.2543362133679379,-0.40395212023036187,-0.4493452001990375,0.08284110070125668,-0.39851475521648266,-0.335734094614232,-0.22347850589751198,-0.27744107743228275,-0.13735372441757748,-0.2494977776658053,-0.2335923234606632
Average_Age,-0.15254691386126581,-0.03732653690103944,-0.6979026708958062,0.9514073524300858,1.0,0.9196088657185388,0.07940532143396357,0.2645968151985088,0.06916968893585947,0.2555288673831974,-0.39578554031350494,-0.038460243850818226,-0.33898943147380445,-0.2815517483423571,-0.25280491096511887,-0.24429207165700775,-0.2591174310763905,-0.24869936809400972,-0.25139582824256435,-0.3759125782812746,-0.40837877750493784,0.024667786048824886,-0.30330050605750725,-0.24282382718810133,-0.23531541171500028,-0.2428022819556491,-0.2570863298456446,-0.23852080447778656,-0.22979510106744583
Median_Age,-0.20384945493956544,0.241562161625661,-0.8238390319729882,0.9063083319621662,0.9196088657185388,1.0,0.1540252832063616,0.326161255795693,0.14185207662826105,0.31462071395569463,-0.48772765633313986,-0.0567432969929884,-0.47430486323281684,-0.4048594296124244,-0.25912840774147466,-0.33680689220845367,-0.2391388961605096,-0.31560452956910123,-0.3525280735236934,-0.4799495441796398,-0.4951571832563166,0.027860413850684912,-0.42436037248684916,-0.35963618072791903,-0.24630033686211644,-0.3251232726743076,-0.23024703496796184,-0.29661203329643304,-0.3146592558358332
Median_Income_2020,-0.19235572523511626,-0.19580070999792304,0.11327102681731041,-0.0017461725590080363,0.07940532143396357,0.1540252832063616,1.0,0.8738135569966837,0.9990851483759073,0.9001026201246018,-0.16982870157940178,-0.23762432969645927,0.39701992392334956,0.18714152190789574,-0.26000189364602816,-0.1399520486609016,-0.41404604052405247,-0.14253662613527326,-0.01940466283992084,-0.10704169578865139,-0.15297449090171641,-0.22260885532429672,0.39215656557836726,0.2660734763805127,-0.22049763128059133,-0.09497459468907127,-0.44052523491476153,-0.07995885845105263,0.04265448271030326
Average_Income_2020,-0.21409137597216205,-0.09326107929904712,-0.13023260578610454,0.24236948216664414,0.2645968151985088,0.326161255795693,0.8738135569966837,1.0,0.8674505179783879,0.9967683432085158,-0.1838623594648261,-0.17539773084648935,0.28244361707748594,0.16024738007810507,-0.2724083876708108,-0.1276727506239133,-0.3428208686926807,-0.13722369821088215,-0.015837289812452356,-0.1203712058227973,-0.15571191266235437,-0.1335803273360933,0.30548819867694155,0.25982617613192344,-0.24543557389734563,-0.08026120989280575,-0.34858835423691575,-0.05538348521427297,0.07266032472216573
Median_After_Tax_Income_2020,-0.19048297316094018,-0.2015385314016184,0.1255314454841754,-0.013586361930532028,0.06916968893585947,0.14185207662826105,0.9990851483759073,0.8674505179783879,1.0,0.89478175745027,-0.16241207770058136,-0.23830766563627662,0.4068130852505404,0.1940319602062759,-0.25940344947901184,-0.13182006364265544,-0.4187527851993886,-0.13853191516207514,-0.013080693292746878,-0.09964570355749951,-0.14389462738011818,-0.22465431824037246,0.4017564046834969,0.2725975329169051,-0.21924834936551985,-0.08434218523897356,-0.4467971145970327,-0.07551956839075623,0.049540308589091274
Average_After_Tax_Income_2020,-0.21988307120468065,-0.11093017975203164,-0.10561102290886124,0.22333820148068012,0.2555288673831974,0.31462071395569463,0.9001026201246018,0.9967683432085158,0.89478175745027,1.0,-0.18755482075034868,-0.19232519203956464,0.30624342817151484,0.17016225844293312,-0.27912465297811223,-0.13140426392334253,-0.3657125586794149,-0.14241805414500214,-0.020474163019287252,-0.12257479525879608,-0.15830953547284682,-0.15336150458794237,0.32675043742359094,0.27030287117588336,-0.24691607898721266,-0.0820849724570841,-0.37428792386607107,-0.060068356613558006,0.06636683726370039
ASSAULT_2020,0.4732155076623289,-0.3322570564660039,0.5099046233724037,-0.4221730480359028,-0.39578554031350494,-0.48772765633313986,-0.16982870157940178,-0.1838623594648261,-0.16241207770058136,-0.18755482075034868,1.0,0.289384044169003,0.5273154477041191,0.7309506111898161,0.4031460868408414,0.8649142439447483,0.3804773834243061,0.6849109687267066,0.6321971241350058,0.9590083111048311,0.885363445008011,0.12946548080472456,0.37266001966946716,0.5313597684117799,0.3186368464853985,0.7483909721057169,0.2936594871554723,0.5557108133323357,0.5032221646238976
AUTOTHEFT_2020,0.48156610990039833,0.08436456117134526,-0.059292390434444474,0.014925565538656238,-0.038460243850818226,-0.0567432969929884,-0.23762432969645927,-0.17539773084648935,-0.23830766563627662,-0.19232519203956464,0.289384044169003,1.0,-0.13793138170642297,0.20845629290526757,0.2631310282513172,0.44143320306906436,0.33969439683098485,0.7589918650154185,0.6866857331082712,0.47106598520026977,0.08034870246488686,0.8707997712807256,-0.21779837607584623,-0.03022906352414587,0.12284780816473373,0.22391792498213298,0.2224733332201873,0.47778027980860077,0.4142702174071687
BIKETHEFT_2020,0.15720337491678035,-0.6265946516873876,0.6925105823673287,-0.44056429442276496,-0.33898943147380445,-0.47430486323281684,0.39701992392334956,0.28244361707748594,0.4068130852505404,0.30624342817151484,0.5273154477041191,-0.13793138170642297,1.0,0.8029125443875997,0.0023498474459841437,0.46311261314920915,-0.11889195725827412,0.3212018701596468,0.4750645138205761,0.5848750986215128,0.5414312290460213,-0.23813097008691572,0.8958648577819951,0.7716525259475829,0.025003810126849355,0.48141670628601735,-0.15958208759104967,0.3529022842896076,0.48488189750884675
BREAKENTER_2020,0.3606013398061715,-0.5348010943866863,0.5784758000833081,-0.35997095458902045,-0.2815517483423571,-0.4048594296124244,0.18714152190789574,0.16024738007810507,0.1940319602062759,0.17016225844293312,0.7309506111898161,0.20845629290526757,0.8029125443875997,1.0,0.15325528294556007,0.6798691735040711,0.022478597059399693,0.6251044256370787,0.6778270835963178,0.8196554969380606,0.6436223695023238,0.05929681813508062,0.6424806422191353,0.8422133514553842,0.12215132218500672,0.5983146043197223,-0.04550595914267958,0.5340159468207161,0.5686024504972993
HOMICIDE_2020,0.35357777236548643,0.04830016398032441,0.12999449702352692,-0.2099983849649279,-0.25280491096511887,-0.25912840774147466,-0.26000189364602816,-0.2724083876708108,-0.25940344947901184,-0.27912465297811223,0.4031460868408414,0.2631310282513172,0.0023498474459841437,0.15325528294556007,1.0,0.3238494354005868,0.4726724402681926,0.2643674252051622,0.18148687085316745,0.3684968158005861,0.2783534334602798,0.11833414269360354,-0.044860091012175474,0.027479438685565037,0.9426720398102805,0.2071231724510653,0.4069100519169347,0.09138196450039707,0.028962281594921386
ROBBERY_2020,0.4599976031072489,-0.291055237090366,0.3703206019516466,-0.2681284667366178,-0.24429207165700775,-0.33680689220845367,-0.1399520486609016,-0.1276727506239133,-0.13182006364265544,-0.13140426392334253,0.8649142439447483,0.44143320306906436,0.46311261314920915,0.6798691735040711,0.3238494354005868,1.0,0.3059878991345884,0.7476660736536335,0.6566201903198474,0.8980649159017654,0.7312061024554986,0.29221749474243297,0.3208246848908881,0.4795123564053872,0.23924893585565388,0.8967021909956522,0.21232634614890022,0.6084013046202541,0.5060017566681294
SHOOTING_2020,0.3825951368252197,0.25016100752330395,-0.040807032163341125,-0.13477911369221524,-0.2591174310763905,-0.2391388961605096,-0.41404604052405247,-0.3428208686926807,-0.4187527851993886,-0.3657125586794149,0.3804773834243061,0.33969439683098485,-0.11889195725827412,0.022478597059399693,0.4726724402681926,0.3059878991345884,1.0,0.2990944175513807,0.23718258255034344,0.3480621177402667,0.24189005663800728,0.24467751124996356,-0.1843227000435425,-0.11864560655012833,0.38136266987284223,0.17581105417740062,0.9189258230649103,0.12375162659275808,0.11103677548335279
THEFTFROMMV_2020,0.5567222088872653,-0.16483158504537876,0.2806366644017688,-0.24498520945869592,-0.24869936809400972,-0.31560452956910123,-0.14253662613527326,-0.13722369821088215,-0.13853191516207514,-0.14241805414500214,0.6849109687267066,0.7589918650154185,0.3212018701596468,0.6251044256370787,0.2643674252051622,0.7476660736536335,0.2990944175513807,1.0,0.8444120471419914,0.8348057914716093,0.4988369509490086,0.5681028063252715,0.18020017326732912,0.36986764556275287,0.1538301070858369,0.5591871014521462,0.17594654360022036,0.8023946399556069,0.5964872272044887
THEFTOVER_2020,0.4421314304374283,-0.3280864116472107,0.38076677987691865,-0.2543362133679379,-0.25139582824256435,-0.3525280735236934,-0.01940466283992084,-0.015837289812452356,-0.013080693292746878,-0.020474163019287252,0.6321971241350058,0.6866857331082712,0.4750645138205761,0.6778270835963178,0.18148687085316745,0.6566201903198474,0.23718258255034344,0.8444120471419914,1.0,0.7901291252223458,0.50882800691594,0.5485956069980339,0.3387164715997309,0.4764737080658271,0.08012318036322529,0.5249171576483046,0.1559628605346312,0.6837397501769005,0.8542357190275212
TOTAL_CRIME_COUNT,0.5330054019943804,-0.36439532815786746,0.5146862089870397,-0.40395212023036187,-0.3759125782812746,-0.4799495441796398,-0.10704169578865139,-0.1203712058227973,-0.09964570355749951,-0.12257479525879608,0.9590083111048311,0.47106598520026977,0.5848750986215128,0.8196554969380606,0.3684968158005861,0.8980649159017654,0.3480621177402667,0.8348057914716093,0.7901291252223458,1.0,0.8138224893918676,0.28774387610182245,0.4177320523364301,0.5899557882111298,0.27294303685733246,0.7528939590983968,0.24146086003903072,0.669451862591206,0.6146845163018367
ASSAULT_RATE_2020,0.0780461028656161,-0.3387653808294138,0.5341973544916719,-0.4493452001990375,-0.40837877750493784,-0.4951571832563166,-0.15297449090171641,-0.15571191266235437,-0.14389462738011818,-0.15830953547284682,0.885363445008011,0.08034870246488686,0.5414312290460213,0.6436223695023238,0.2783534334602798,0.7312061024554986,0.24189005663800728,0.4988369509490086,0.50882800691594,0.8138224893918676,1.0,0.0442020268687757,0.5437661486505563,0.6787726564336649,0.2790877496160492,0.8079966093707351,0.2696629165282882,0.6323558756876536,0.5935740370853984
AUTOTHEFT_RATE_2020,0.16027656827516004,0.16128065574707554,-0.15506461497974217,0.08284110070125668,0.024667786048824886,0.027860413850684912,-0.22260885532429672,-0.1335803273360933,-0.22465431824037246,-0.15336150458794237,0.12946548080472456,0.8707997712807256,-0.23813097008691572,0.05929681813508062,0.11833414269360354,0.29221749474243297,0.24467751124996356,0.5681028063252715,0.5485956069980339,0.28774387610182245,0.0442020268687757,1.0,-0.26554321120684726,-0.05280571776266749,0.030440341299403446,0.2183343380727363,0.21764660693578522,0.5039299099783302,0.46292265728709436
BIKETHEFT_RATE_2020,-0.11935076095229485,-0.5658491135341802,0.6262299386328725,-0.39851475521648266,-0.30330050605750725,-0.42436037248684916,0.39215656557836726,0.30548819867694155,0.4017564046834969,0.32675043742359094,0.37266001966946716,-0.21779837607584623,0.8958648577819951,0.6424806422191353,-0.044860091012175474,0.3208246848908881,-0.1843227000435425,0.18020017326732912,0.3387164715997309,0.4177320523364301,0.5437661486505563,-0.26554321120684726,1.0,0.8371678902663993,0.02349519547024302,0.4736889839993478,-0.18626874585719422,0.3964876798474844,0.5030517339671495
BREAKENTER_RATE_2020,-0.08736999958242093,-0.5262104984082697,0.5555349303935451,-0.335734094614232,-0.24282382718810133,-0.35963618072791903,0.2660734763805127,0.25982617613192344,0.2725975329169051,0.27030287117588336,0.5313597684117799,-0.03022906352414587,0.7716525259475829,0.8422133514553842,0.027479438685565037,0.4795123564053872,-0.11864560655012833,0.36986764556275287,0.4764737080658271,0.5899557882111298,0.6787726564336649,-0.05280571776266749,0.8371678902663993,1.0,0.08203295158096587,0.6091787282067436,-0.10153070489167236,0.5688511083145096,0.6104481045050449
HOMICIDE_RATE_2020,0.1770591639005374,0.032302500434839246,0.14918434054659135,-0.22347850589751198,-0.23531541171500028,-0.24630033686211644,-0.22049763128059133,-0.24543557389734563,-0.21924834936551985,-0.24691607898721266,0.3186368464853985,0.12284780816473373,0.025003810126849355,0.12215132218500672,0.9426720398102805,0.23924893585565388,0.38136266987284223,0.1538301070858369,0.08012318036322529,0.27294303685733246,0.2790877496160492,0.030440341299403446,0.02349519547024302,0.08203295158096587,1.0,0.20799852654043058,0.37797892766735114,0.08519076530359197,-0.008219429451634352
ROBBERY_RATE_2020,0.10447324716462292,-0.29400042024588113,0.3790013775770319,-0.27744107743228275,-0.2428022819556491,-0.3251232726743076,-0.09497459468907127,-0.08026120989280575,-0.08434218523897356,-0.0820849724570841,0.7483909721057169,0.22391792498213298,0.48141670628601735,0.5983146043197223,0.2071231724510653,0.8967021909956522,0.17581105417740062,0.5591871014521462,0.5249171576483046,0.7528939590983968,0.8079966093707351,0.2183343380727363,0.4736889839993478,0.6091787282067436,0.20799852654043058,1.0,0.1769590821640738,0.6736345218639601,0.5787602428960871
SHOOTING_RATE_2020,0.15952854436510733,0.28058454735152677,-0.05673316966407296,-0.13735372441757748,-0.2570863298456446,-0.23024703496796184,-0.44052523491476153,-0.34858835423691575,-0.4467971145970327,-0.37428792386607107,0.2936594871554723,0.2224733332201873,-0.15958208759104967,-0.04550595914267958,0.4069100519169347,0.21232634614890022,0.9189258230649103,0.17594654360022036,0.1559628605346312,0.24146086003903072,0.2696629165282882,0.21764660693578522,-0.18626874585719422,-0.10153070489167236,0.37797892766735114,0.1769590821640738,1.0,0.12419710559783133,0.13630943301627635
THEFTFROMMV_RATE_2020,0.03788200442302236,-0.16427359036628175,0.28344371581540606,-0.2494977776658053,-0.23852080447778656,-0.29661203329643304,-0.07995885845105263,-0.05538348521427297,-0.07551956839075623,-0.060068356613558006,0.5557108133323357,0.47778027980860077,0.3529022842896076,0.5340159468207161,0.09138196450039707,0.6084013046202541,0.12375162659275808,0.8023946399556069,0.6837397501769005,0.669451862591206,0.6323558756876536,0.5039299099783302,0.3964876798474844,0.5688511083145096,0.08519076530359197,0.6736345218639601,0.12419710559783133,1.0,0.7184587871123831
THEFTOVER_RATE_2020,0.05603731116845902,-0.3285903895613264,0.3657677640792788,-0.2335923234606632,-0.22979510106744583,-0.3146592558358332,0.04265448271030326,0.07266032472216573,0.049540308589091274,0.06636683726370039,0.5032221646238976,0.4142702174071687,0.48488189750884675,0.5686024504972993,0.028962281594921386,0.5060017566681294,0.11103677548335279,0.5964872272044887,0.8542357190275212,0.6146845163018367,0.5935740370853984,0.46292265728709436,0.5030517339671495,0.6104481045050449,-0.008219429451634352,0.5787602428960871,0.13630943301627635,0.7184587871123831,1.0
